Feature1,Feature2,Target
-0.5972056890639008,-3.401851062792281,0
-2.1923609647811224,-1.6984526576663876,0
-0.534351231078446,-2.225776300486536,0
2.3227185603380893,1.172769056447677,1
-1.785906255869796,-3.245738778711988,0
-1.0845978822979259,-1.6712488903403155,0
-1.9417912815540002,-3.1429702978306233,0
1.2696333682828633,2.216458589581975,1
1.338213535231612,2.852433334796224,1
1.6847307553596544,2.7589692204932676,1
-1.187474177605802,-0.6437599714291771,0
1.0730695284219172,1.9404746439382,1
-1.9869981081220929,-0.5464659228426831,0
1.018491348952049,2.462103474263271,1
-2.47917423784529,-2.185658976663817,0
4.133033374656266,0.04791220047749811,1
-1.723309200669981,-1.1728167509639762,0
2.0698020849900187,1.6146864031382397,1
-2.8895144296255233,-2.8158102849654383,0
-1.7725400653958705,-0.6928572457175719,0
-2.4606387709597874,-0.9428777737810843,0
-1.9003486349123588,-2.5034756541161993,0
-1.9082392234644976,-3.987568914600893,0
2.8254163489880297,2.8135096360006386,1
1.9809837920973112,0.9974706353621912,1
1.7918777496427247,1.5069990653411671,1
1.9790984060358519,2.117327383308782,1
-1.7495071496541235,-1.6535517905030244,0
-3.0128311203344236,-1.685752667404726,0
2.412931454275624,1.4362754471960253,1
2.443819428146228,2.7746340534293368,1
0.2868654709091225,3.353872374165413,1
2.045571839903814,1.3483996523941828,1
-3.3281860488984307,-1.8031387641308765,0
-2.5443827245251827,-1.889077410290134,0
-2.219671887837512,-1.6428874284882535,0
3.1581108735000676,2.7916626939629356,1
-2.6800247215784907,-1.7677463028389964,0
2.515047686306048,5.852731490654721,1
1.1745028032074885,1.6786141583470067,1
1.5599555133030163,2.1307405772860912,1
2.2449665711087228,1.4930568246288702,1
-2.908024075521211,-3.4123037013352917,0
2.5470973811700377,1.7978073475661058,1
-2.0358260391099514,-0.4353563441859938,0
2.6901439917111123,1.5987795281141637,1
-2.6006386899188048,-2.291693749793277,0
-1.638363974952366,-2.6451197546051244,0
2.7472936051232617,2.610370265433465,1
-1.1774550878968109,-3.2208436499710222,0
-2.9905363251306882,-2.566297729602772,0
-0.8571771854849795,-1.2480669673132259,0
4.122156197012633,3.032465260551147,1
-2.077101709414104,-1.6588480251833562,0
2.5049872789804573,2.8657551941701214,1
2.19905969557347,1.3997831228412054,1
2.9751197334177513,1.8529426184978615,1
-1.7580377284339659,-3.913280244657798,0
2.3577873603482833,2.5607845263682343,1
-2.9194242342338033,-0.45006559498246057,0
-2.0347117697052433,-3.1686780376195323,0
0.4806300340459866,1.5157659271337487,1
3.4412732890661157,0.5641378488205606,1
3.451143607795042,2.959270826085207,1
-1.3523114618993075,-0.47697014359197465,0
-0.969000477504049,-1.0687198808838014,0
-3.1509935774223026,-1.624301981654328,0
3.6324113039316352,0.5698586220393673,1
1.8482149049644168,2.5883172064845765,1
2.0969959649927183,2.5951570254369134,1
1.525054688839044,1.346670767426288,1
-2.264656833237956,0.7201691665896188,0
-1.638604394491586,-0.4619634335340308,0
-0.025142586657607158,2.1864543147694278,1
-1.5267623754264552,-2.0728289126568726,0
-2.3921081531321575,-3.4635149481321186,0
-1.4131429061997296,0.19045562580997855,0
2.0758045581937266,1.3228382884878882,1
2.681952971294964,1.689733243406544,1
-1.675916030605205,-2.3850822804163165,0
-1.7401172057515764,-1.2181771282226896,0
1.7823187967727798,3.09877685198719,1
-2.529760203767039,-1.4867325668866438,0
2.2240924818104166,2.012592400781795,1
-1.703879722935424,-1.7389447278201107,0
3.1631637521549596,2.010233061019587,1
-1.9029224506519595,-1.0313550094671107,0
4.153182457511557,1.2326524371119505,1
2.81286211883896,2.629628841923612,1
1.8912398515431423,2.4017117220989412,1
-1.1864827826303301,-3.230864316433955,0
1.8854601547473822,3.2378163119734618,1
-2.1156482823882405,-2.3011036955892887,0
1.240867338446302,2.1503937864762075,1
-0.5221059552584839,-2.5182702182736474,0
1.281555778747564,1.7865528482881528,1
3.179440120721287,1.5308243478952952,1
-2.469474385934952,-1.4574399564140355,0
-1.2615334200045896,-1.8286317188100294,0
-1.7911364049952445,-3.959670123879776,0
2.113517345251248,2.6621306745210465,1
-1.208968052956953,-2.909387454794739,0
3.305478807154329,2.021003841632759,1
2.8576596232020193,1.840061470036573,1
-2.223462785325851,-1.285999505907908,0
-2.6769220003059586,-1.3883237111591322,0
1.2271747854624282,1.7631813932599911,1
-2.4465149520670213,-1.1436012056765277,0
-3.062303713726105,-1.5264075693648185,0
-1.6563817104315386,-3.763040155362734,0
-3.9187712152990413,-2.0265138754492167,0
